[2025-02-18 04:49:32,443: INFO: common: artifacts directory created]
[2025-02-18 04:49:32,444: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 04:52:38,594: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 04:52:38,596: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 04:52:38,597: INFO: common: artifacts directory created]
[2025-02-18 04:52:38,598: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 04:57:44,584: INFO: config: PyTorch version 2.6.0 available.]
[2025-02-18 04:57:44,989: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 04:57:44,991: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 04:57:44,992: INFO: common: artifacts directory created]
[2025-02-18 04:57:44,993: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 05:04:32,275: INFO: rouge_scorer: Using default tokenizer.]
[2025-02-18 05:07:07,783: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 05:07:07,785: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 05:07:07,786: INFO: common: artifacts directory created]
[2025-02-18 05:07:07,786: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 05:07:10,558: INFO: rouge_scorer: Using default tokenizer.]
[2025-02-18 05:10:56,656: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 05:10:56,658: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 05:10:56,659: INFO: common: artifacts directory created]
[2025-02-18 05:10:56,660: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 05:10:59,617: INFO: rouge_scorer: Using default tokenizer.]
[2025-02-18 05:12:10,460: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 05:12:10,462: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 05:12:10,463: INFO: common: artifacts directory created]
[2025-02-18 05:12:10,465: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 05:12:13,387: INFO: rouge_scorer: Using default tokenizer.]
[2025-02-18 05:13:15,891: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 05:13:15,893: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 05:13:15,894: INFO: common: artifacts directory created]
[2025-02-18 05:13:15,895: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 05:13:18,679: INFO: rouge_scorer: Using default tokenizer.]
[2025-02-18 05:28:52,710: INFO: server: Started server process [19736]]
[2025-02-18 05:28:52,711: INFO: on: Waiting for application startup.]
[2025-02-18 05:28:52,712: INFO: on: Application startup complete.]
[2025-02-18 05:28:52,712: INFO: server: Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)]
[2025-02-18 05:31:04,193: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-02-18 05:31:04,204: INFO: common: yaml file params.yaml loaded successfully]
[2025-02-18 05:31:04,204: INFO: common: artifacts directory created]
[2025-02-18 05:31:04,205: INFO: common: artifacts/model_evaluation directory created]
[2025-02-18 05:34:28,878: INFO: server: Shutting down]
[2025-02-18 05:34:28,986: INFO: on: Waiting for application shutdown.]
[2025-02-18 05:34:28,986: INFO: on: Application shutdown complete.]
[2025-02-18 05:34:28,987: INFO: server: Finished server process [19736]]
